"#4C4F56","Abbey"
"#52001F","Castro"
"#062A78","Catalina Blue"
"#EEF6F7","Catskill White"
"#E3BEBE","Cavern Pink"
"#711A00","Cedar Wood Finish"
"#3E1C14","Cedar"
"#ACE1AF","Celadon"
"#B8C25D","Celery"
"#D1D2CA","Celeste"
"#1E385B","Cello"
"#163222","Celtic"
"#8D7662","Cement"
"#FCFFF9","Ceramic"
"#DA3287","Cerise"
"#DE3163","Cerise Red"
"#02A4D3","Cerulean"
"#2A52BE","Cerulean Blue"
"#FFF4F3","Chablis"
"#516E3D","Chalet Green"
"#EED794","Chalky"
"#354E8C","Chambray"
"#EDDCB1","Chamois"
"#FAECCC","Champagne"
"#F8C3DF","Chantilly"
"#292937","Charade"
"#FFCD8C","Chardonnay"
"#FFF3F1","Chardon"
"#BAEEF9","Charlotte"
"#D47494","Charm"
"#7FFF00","Chartreuse"
"#DFFF00","Chartreuse Yellow"
"#40A860","Chateau Green"
"#BDB3C7","Chatelle"
"#175579","Chathams Blue"
"#83AA5D","Chelsea Cucumber"
"#9E5302","Chelsea Gem"
"#DFCD6F","Chenin"
"#FCDA98","Cherokee"
"#2A0359","Cherry Pie"
"#651A14","Cherrywood"
"#F8D9E9","Cherub"
"#B94E48","Chestnut"
"#CD5C5C","Chestnut Rose"
"#8581D9","Chetwode Blue"
"#5D5C58","Chicago"
"#F1FFC8","Chiffon"
"#F77703","Chilean Fire"
"#FFFDE6","Chilean Heath"
"#FCFFE7","China Ivory"
"#CEC7A7","Chino"
"#A8E3BD","Chinook"
"#370202","Chocolate"
"#33036B","Christalle"
"#67A712","Christi"
"#E7730A","Christine"
"#E8F1D4","Chrome White"
"#0E0E18","Cinder"
"#FDE1DC","Cinderella"
"#E34234","Cinnabar"
"#7B3F00","Cinnamon"
"#55280C","Cioccolato"
"#FAF7D6","Citrine White"
"#9EA91F","Citron"
"#A1C50A","Citrus"
"#480656","Clairvoyant"
"#D4B6AF","Clam Shell"
"#7F1734","Claret"
"#FBCCE7","Classic Rose"
"#BDC8B3","Clay Ash"
"#8A8360","Clay Creek"
"#E9FFFD","Clear Day"
"#E96E00","Clementine"
"#371D09","Clinker"
"#202E54","Cloud Burst"
"#C7C4BF","Cloud"
"#ACA59F","Cloudy"
"#384910","Clover"
"#0047AB","Cobalt"
"#301F1E","Cocoa Brown"
"#481C1C","Cocoa Bean"
"#F8F7DC","Coconut Cream"
"#0B0B0B","Cod Gray"
"#2A140E","Coffee Bean"
"#706555","Coffee"
"#9F381D","Cognac"
"#3F2500","Cola"
"#ABA0D9","Cold Purple"
"#CEBABA","Cold Turkey"
"#FFEDBC","Colonial White"
"#5C5D75","Comet"
"#517C66","Como"
"#C9D9D2","Conch"
"#7C7B7A","Concord"
"#F2F2F2","Concrete"
"#E9D75A","Confetti"
"#593737","Congo Brown"
"#02478E","Congress Blue"
"#ACDD4D","Conifer"
"#C6726B","Contessa"
"#7E3A15","Copper Canyon"
"#944747","Copper Rust"
"#996666","Copper Rose"
"#B87333","Copper"
"#DA8A67","Copperfield"
"#A86B6B","Coral Tree"
"#C7BCA2","Coral Reef"
"#FF4040","Coral Red"
"#FF7F50","Coral"
"#606E68","Corduroy"
"#C4D0B0","Coriander"
"#40291D","Cork"
"#F8FACD","Corn Field"
"#8B6B0B","Corn Harvest"
"#E7BF05","Corn"
"#6495ED","Cornflower Blue"
"#93CCEA","Cornflower"
"#FFB0AC","Cornflower Lilac"
"#FAD3A2","Corvette"
"#76395D","Cosmic"
"#FFD8D9","Cosmos"
"#615D30","Costa Del Sol"
"#C2BDB6","Cotton Seed"
"#FFB7D5","Cotton Candy"
"#01371A","County Green"
"#4D282D","Cowboy"
"#B95140","Crail"
"#DB5079","Cranberry"
"#462425","Crater Brown"
"#F5C85C","Cream Can"
"#FFE5A0","Cream Brulee"
"#FFFDD0","Cream"
"#1E0F04","Creole"
"#737829","Crete"
"#DC143C","Crimson"
"#736D58","Crocodile"
"#771F1F","Crown of Thorns"
"#1C1208","Crowshead"
"#B5ECDF","Cruise"
"#004816","Crusoe"
"#FD7B33","Crusta"
"#924321","Cumin"
"#FDFFD5","Cumulus"
"#FBBEDA","Cupid"
"#2596D1","Curious Blue"
"#507672","Cutty Sark"
"#003E40","Cyprus"
"#012731","Daintree"
"#F9E4BC","Dairy Cream"
"#4F2398","Daisy Bush"
"#6E4B26","Dallas"
"#FED85D","Dandelion"
"#6093D1","Danube"
"#0000C8","Dark Blue"
"#770F05","Dark Burgundy"
"#3C2005","Dark Ebony"
"#0A480D","Dark Fern"
"#661010","Dark Tan"
"#F3E9E5","Dawn Pink"
"#A6A29A","Dawn"
"#7AC488","De York"
"#D2DA97","Deco"
"#220878","Deep Blue"
"#4A3004","Deep Bronze"
"#E47698","Deep Blush"
"#007BA7","Deep Cerulean"
"#051040","Deep Cove"
"#002900","Deep Fir"
"#182D09","Deep Forest Green"
"#1B127B","Deep Koamaru"
"#412010","Deep Oak"
"#01826B","Deep Sea"
"#082567","Deep Sapphire"
"#095859","Deep Sea Green"
"#003532","Deep Teal"
"#B09A95","Del Rio"
"#396413","Dell"
"#A4A49D","Delta"
"#7563A8","Deluge"
"#1560BD","Denim"
"#FFEED8","Derby"
"#AE6020","Desert"
"#EDC9AF","Desert Sand"
"#F8F8F7","Desert Storm"
"#EAFFFE","Dew"
"#DB995E","Di Serria"
"#130000","Diesel"
"#5D7747","Dingley"
"#871550","Disco"
"#E29418","Dixie"
"#1E90FF","Dodger Blue"
"#F9FF8B","Dolly"
"#646077","Dolphin"
"#8E775E","Domino"
"#5D4C51","Don Juan"
"#A69279","Donkey Brown"
"#6B5755","Dorado"
"#E6D7B9","Double Spanish White"
"#EEE3AD","Double Colonial White"
"#FCF4D0","Double Pearl Lusta"
"#6D6C6C","Dove Gray"
"#092256","Downriver"
"#6FD0C5","Downy"
"#AF8751","Driftwood"
"#FDF7AD","Drover"
"#A899E6","Dull Lavender"
"#383533","Dune"
"#E5CCC9","Dust Storm"
"#A8989B","Dusty Gray"
"#B6BAA4","Eagle"
"#C9B93B","Earls Green"
"#FFF9E6","Early Dawn"
"#414C7D","East Bay"
"#AC91CE","East Side"
"#1E9AB0","Eastern Blue"
"#E9E3E3","Ebb"
"#26283B","Ebony Clay"
"#0C0B1D","Ebony"
"#311C17","Eclipse"
"#F5F3E5","Ecru White"
"#FA7814","Ecstasy"
"#105852","Eden"
"#C8E3D7","Edgewater"
"#A2AEAB","Edward"
"#FFF4DD","Egg Sour"
"#FFEFC1","Egg White"
"#614051","Eggplant"
"#1E1708","El Paso"
"#8F3E33","El Salva"
"#8B00FF","Electric Violet"
"#CCFF00","Electric Lime"
"#123447","Elephant"
"#088370","Elf Green"
"#1C7C7D","Elm"
"#50C878","Emerald"
"#6C3082","Eminence"
"#514649","Emperor"
"#817377","Empress"
"#0056A7","Endeavour"
"#F8DD5C","Energy Yellow"
"#022D15","English Holly"
"#3E2B23","English Walnut"
"#8BA690","Envy"
"#E1BC64","Equator"
"#612718","Espresso"
"#211A0E","Eternity"
"#278A5B","Eucalyptus"
"#CFA39D","Eunry"
"#024E46","Evening Sea"
"#1C402E","Everglade"
"#427977","Faded Jade"
"#FFEFEC","Fair Pink"
"#7F626D","Falcon"
"#ECEBBD","Fall Green"
"#801818","Falu Red"
"#FAF3F0","Fantasy"
"#796A78","Fedora"
"#9FDD8C","Feijoa"
"#657220","Fern Frond"
"#4F7942","Fern Green"
"#63B76C","Fern"
"#704F50","Ferra"
"#FBE96C","Festival"
"#F0FCEA","Feta"
"#B35213","Fiery Orange"
"#626649","Finch"
"#556D56","Finlandia"
"#692D54","Finn"
"#405169","Fiord"
"#E89928","Fire Bush"
"#AA4203","Fire"
"#0E2A30","Firefly"
"#DA5B38","Flame Pea"
"#FF7D07","Flamenco"
"#F2552A","Flamingo"
"#7B8265","Flax Smoke"
"#EEDC82","Flax"
"#FFCBA4","Flesh"
"#6F6A61","Flint"
"#A2006D","Flirt"
"#CA3435","Flush Mahogany"
"#FF7F00","Flush Orange"
"#D8FCFA","Foam"
"#D7D0FF","Fog"
"#CBCAB6","Foggy Gray"
"#228B22","Forest Green"
"#FFF1EE","Forget Me Not"
"#56B4BE","Fountain Blue"
"#FFDEB3","Frangipani"
"#BDBDC6","French Gray"
"#BDEDFD","French Pass"
"#ECC7EE","French Lilac"
"#F64A8A","French Rose"
"#990066","Fresh Eggplant"
"#807E79","Friar Gray"
"#B1E2C1","Fringy Flower"
"#F57584","Froly"
"#EDF5DD","Frost"
"#DBFFF8","Frosted Mint"
"#E4F6E7","Frostee"
"#4F9D5D","Fruit Salad"
"#7A58C1","Fuchsia Blue"
"#C154C1","Fuchsia Pink"
"#FF00FF","Fuchsia / Magenta"
"#BEDE0D","Fuego"
"#ECA927","Fuel Yellow"
"#1959A8","Fun Blue"
"#016D39","Fun Green"
"#54534D","Fuscous Gray"
"#C45655","Fuzzy Wuzzy Brown"
"#163531","Gable Green"
"#EFEFEF","Gallery"
"#DCB20C","Galliano"
"#E49B0F","Gamboge"
"#D18F1B","Geebung"
"#15736B","Genoa"
"#FB8989","Geraldine"
"#D4DFE2","Geyser"
"#C7C9D5","Ghost"
"#523C94","Gigas"
"#B8B56A","Gimblet"
"#FFF9E2","Gin Fizz"
"#E8F2EB","Gin"
"#F8E4BF","Givry"
"#80B3C4","Glacier"
"#61845F","Glade Green"
"#726D4E","Go Ben"
"#3D7D52","Goblin"
"#F18200","Gold Drop"
"#E6BE8A","Gold Sand"
"#DEBA13","Gold Tips"
"#FFD700","Gold"
"#DAA520","Golden Grass"
"#E28913","Golden Bell"
"#F0D52D","Golden Dream"
"#F0DB7D","Golden Sand"
"#F5FB3D","Golden Fizz"
"#FCD667","Goldenrod"
"#FDE295","Golden Glow"
"#FFCC5C","Golden Tainoi"
"#261414","Gondola"
"#0B1107","Gordons Green"
"#FFF14F","Gorse"
"#069B81","Gossamer"
"#D2F8B0","Gossip"
"#6D92A1","Gothic"
"#2F3CB3","Governor Bay"
"#E4D5B7","Grain Brown"
"#FFD38C","Grandis"
"#8D8974","Granite Green"
"#84A0A0","Granny Smith"
"#9DE093","Granny Smith Apple"
"#D5F6E3","Granny Apple"
"#381A51","Grape"
"#251607","Graphite"
"#4A444B","Gravel"
"#465945","Gray Asparagus"
"#A2AAB3","Gray Chateau"
"#C3C3BD","Gray Nickel"
"#E7ECE6","Gray Nurse"
"#A9A491","Gray Olive"
"#C1BECD","Gray Suit"
"#808080","Gray"
"#01A368","Green Haze"
"#032B52","Green Vogue"
"#101405","Green Waterloo"
"#1D6142","Green Pea"
"#24500F","Green House"
"#25311C","Green Kelp"
"#436A0D","Green Leaf"
"#A4AF6E","Green Smoke"
"#ADFF2F","Green Yellow"
"#B8C1B1","Green Spring"
"#CBD3B0","Green Mist"
"#E8EBE0","Green White"
"#00FF00","Green"
"#D54600","Grenadier"
"#BA0101","Guardsman Red"
"#051657","Gulf Blue"
"#80B3AE","Gulf Stream"
"#9DACB7","Gull Gray"
"#B6D3BF","Gum Leaf"
"#7CA1A6","Gumbo"
"#414257","Gun Powder"
"#828685","Gunsmoke"
"#9A9577","Gurkha"
"#98811B","Hacienda"
"#6B2A14","Hairy Heath"
"#1B1035","Haiti"
"#85C4CC","Half Baked"
"#FDF6D3","Half Colonial White"
"#FEF7DE","Half Dutch White"
"#FEF4DB","Half Spanish White"
"#FFFEE1","Half and Half"
"#E5D8AF","Hampton"
"#3FFF00","Harlequin"
"#E6F2EA","Harp"
"#E0B974","Harvest Gold"
"#5590D9","Havelock Blue"
"#9D5616","Hawaiian Tan"
"#D4E2FC","Hawkes Blue"
"#541012","Heath"
"#B6B095","Heathered Gray"
"#B7C3D0","Heather"
"#2B3228","Heavy Metal"
"#DF73FF","Heliotrope"
"#5E5D3B","Hemlock"
"#907874","Hemp"
"#B6316C","Hibiscus"
"#6F8E63","Highland"
"#ACA586","Hillary"
"#6A5D1B","Himalaya"
"#E6FFE9","Hint of Green"
"#FAFDE4","Hint of Yellow"
"#FBF9F9","Hint of Red"
"#53824B","Hippie Green"
"#589AAF","Hippie Blue"
"#AE4560","Hippie Pink"
"#A1ADB5","Hit Gray"
"#FFAB81","Hit Pink"
"#C8A528","Hokey Pokey"
"#65869F","Hoki"
"#011D13","Holly"
"#F400A1","Hollywood Cerise"
"#4F1C70","Honey Flower"
"#EDFC84","Honeysuckle"
"#D06DA1","Hopbush"
"#5A87A0","Horizon"
"#604913","Horses Neck"
"#D2691E","Hot Cinnamon"
"#FF69B4","Hot Pink"
"#B38007","Hot Toddy"
"#CFF9F3","Humming Bird"
"#161D10","Hunter Green"
"#877C7B","Hurricane"
"#B7A458","Husk"
"#B1F4E7","Ice Cold"
"#DAF4F0","Iceberg"
"#F6A4C9","Illusion"
"#B0E313","Inch Worm"
"#4D1E01","Indian Tan"
"#C3B091","Indian Khaki"
"#4F69C6","Indigo"
"#C26B03","Indochine"
"#002FA7","International Klein Blue"
"#FF4F00","International Orange"
"#5F3D26","Irish Coffee"
"#433120","Iroko"
"#D4D7D9","Iron"
"#676662","Ironside Gray"
"#86483C","Ironstone"
"#FFFCEE","Island Spice"
"#FFFFF0","Ivory"
"#2E0329","Jacaranda"
"#3A2A6A","Jacarta"
"#2E1905","Jacko Bean"
"#20208D","Jacksons Purple"
"#00A86B","Jade"
"#EF863F","Jaffa"
"#C2E8E5","Jagged Ice"
"#350E57","Jagger"
"#080110","Jaguar"
"#5B3013","Jambalaya"
"#F4EBD3","Janna"
"#0A6906","Japanese Laurel"
"#780109","Japanese Maple"
"#D87C63","Japonica"
"#1FC2C2","Java"
"#A50B5E","Jazzberry Jam"
"#297B9A","Jelly Bean"
"#B5D2CE","Jet Stream"
"#126B40","Jewel"
"#3B1F1F","Jon"
"#EEFF9A","Jonquil"
"#8AB9F1","Jordy Blue"
"#544333","Judge Gray"
"#7C7B82","Jumbo"
"#29AB87","Jungle Green"
"#B4CFD3","Jungle Mist"
"#6D9292","Juniper"
"#ECCDB9","Just Right"
"#5E483E","Kabul"
"#004620","Kaitoke Green"
"#C6C8BD","Kangaroo"
"#1E1609","Karaka"
"#FFEAD4","Karry"
"#507096","Kashmir Blue"
"#454936","Kelp"
"#7C1C05","Kenyan Copper"
"#3AB09E","Keppel"
"#BFC921","Key Lime Pie"
"#F0E68C","Khaki"
"#E1EAD4","Kidnapper"
"#240C02","Kilamanjaro"
"#3A6A47","Killarney"
"#736C9F","Kimberly"
"#3E0480","Kingfisher Daisy"
"#E79FC4","Kobi"
"#6E6D57","Kokoda"
"#8F4B0E","Korma"
"#FFBD5F","Koromiko"
"#FFE772","Kournikova"
"#886221","Kumera"
"#368716","La Palma"
"#B3C110","La Rioja"
"#C6E610","Las Palmas"
"#FFFF66","Laser Lemon"
"#C8B568","Laser"
"#749378","Laurel"
"#967BB6","Lavender Purple"
"#B57EDC","Lavender"
"#BDBBD7","Lavender Gray"
"#EE82EE","Lavender Magenta"
"#FBA0E3","Lavender Rose"
"#FBAED2","Lavender Pink"
"#FFF0F5","Lavender blush"
"#967059","Leather"
"#9B9E8F","Lemon Grass"
"#AC9E22","Lemon Ginger"
"#FFFACD","Lemon Chiffon"
"#FDE910","Lemon"
"#C9A0DC","Light Wisteria"
"#E29CD2","Light Orchid"
"#FDD5B1","Light Apricot"
"#FCC01E","Lightning Yellow"
"#9874D3","Lilac Bush"
"#C8A2C8","Lilac"
"#E7F8FF","Lily White"
"#C8AABF","Lily"
"#76BD17","Lima"
"#BFFF00","Lime"
"#6F9D02","Limeade"
"#394851","Limed Spruce"
"#747D63","Limed Ash"
"#AC8A56","Limed Oak"
"#FAF0E6","Linen"
"#D9E4F5","Link Water"
"#AB0563","Lipstick"
"#423921","Lisbon Brown"
"#4D282E","Livid Brown"
"#EEF4DE","Loafer"
"#BDC9CE","Loblolly"
"#2C8C84","Lochinvar"
"#007EC7","Lochmara"
"#A8AF8E","Locust"
"#242A1D","Log Cabin"
"#AAA9CD","Logan"
"#DFCFDB","Lola"
"#BEA6C3","London Hue"
"#6D0101","Lonestar"
"#863C3C","Lotus"
"#460B41","Loulou"
"#1A1A68","Lucky Point"
"#AF9F1C","Lucky"
"#3C493A","Lunar Green"
"#A7882C","Luxor Gold"
"#697E9A","Lynch"
"#D9F7FF","Mabel"
"#FFB97B","Macaroni and Cheese"
"#B7F0BE","Madang"
"#09255D","Madison"
"#3F3002","Madras"
"#F653A6","Magenta"
"#AAF0D1","Magic Mint"
"#F8F4FF","Magnolia"
"#4E0606","Mahogany"
"#B06608","Mai Tai"
"#F5D5A0","Maize"
"#897D6D","Makara"
"#444954","Mako"
"#0BDA51","Malachite"
"#7DC8F7","Malibu"
"#233418","Mallard"
"#BDB2A1","Malta"
"#8E8190","Mamba"
"#8D90A1","Manatee"
"#AD781B","Mandalay"
"#E25465","Mandy"
"#F2C3B2","Mandys Pink"
"#E77200","Mango Tango"
"#F5C999","Manhattan"
"#74C365","Mantis"
"#8B9C90","Mantle"
"#EEEF78","Manz"
"#350036","Mardi Gras"
"#B98D28","Marigold"
"#FBE870","Marigold Yellow"
"#286ACD","Mariner"
"#520C17","Maroon Oak"
"#800000","Maroon"
"#C32148","Maroon Flush"
"#0B0F08","Marshland"
"#363050","Martinique"
"#AFA09E","Martini"
"#F8DB9D","Marzipan"
"#403B38","Masala"
"#1B659D","Matisse"
"#B05D54","Matrix"
"#4E3B41","Matterhorn"
"#E0B0FF","Mauve"
"#F091A9","Mauvelous"
"#D8C2D5","Maverick"
"#9370DB","Medium Purple"
"#AF4035","Medium Carmine"
"#E4C2D5","Melanie"
"#300529","Melanzane"
"#FEBAAD","Melon"
"#C7C1FF","Melrose"
"#E5E5E5","Mercury"
"#F6F0E6","Merino"
"#413C37","Merlin"
"#831923","Merlot"
"#49371B","Metallic Bronze"
"#71291D","Metallic Copper"
"#3C1F76","Meteorite"
"#D07D12","Meteor"
"#A72525","Mexican Red"
"#5F5F6E","Mid Gray"
"#003366","Midnight Blue"
"#011635","Midnight"
"#041004","Midnight Moss"
"#2D2510","Mikado"
"#FAFFA4","Milan"
"#B81104","Milano Red"
"#FFF6D4","Milk Punch"
"#594433","Millbrook"
"#F8FDD3","Mimosa"
"#E3F988","Mindaro"
"#323232","Mine Shaft"
"#3F5D53","Mineral Green"
"#36747D","Ming"
"#3F307F","Minsk"
"#98FF98","Mint Green"
"#F1EEC1","Mint Julep"
"#C4F4EB","Mint Tulip"
"#161928","Mirage"
"#D1D2DD","Mischka"
"#C4C4BC","Mist Gray"
"#7F7589","Mobster"
"#6E1D14","Moccaccino"
"#782D19","Mocha"
"#C04737","Mojo"
"#FFA194","Mona Lisa"
"#8B0723","Monarch"
"#4A3C30","Mondo"
"#B5A27F","Mongoose"
"#8A8389","Monsoon"
"#83D0C6","Monte Carlo"
"#C7031E","Monza"
"#7F76D3","Moody Blue"
"#FCFEDA","Moon Glow"
"#DCDDCC","Moon Mist"
"#D6CEF6","Moon Raker"
"#9EDEE0","Morning Glory"
"#441D00","Morocco Brown"
"#504351","Mortar"
"#036A6E","Mosque"
"#ADDFAD","Moss Green"
"#1AB385","Mountain Meadow"
"#959396","Mountain Mist"
"#997A8D","Mountbatten Pink"
"#B78E5C","Muddy Waters"
"#AA8B5B","Muesli"
"#5C0536","Mulberry Wood"
"#C54B8C","Mulberry"
"#8C472F","Mule Fawn"
"#4E4562","Mulled Wine"
"#FFDB58","Mustard"
"#D69188","My Pink"
"#FFB31F","My Sin"
"#E2EBED","Mystic"
"#4B5D52","Nandor"
"#ACA494","Napa"
"#EDF9F1","Narvik"
"#8B8680","Natural Gray"
"#FFDEAD","Navajo White"
"#000080","Navy Blue"
"#CBDBD6","Nebula"
"#FFE2C5","Negroni"
"#FF9933","Neon Carrot"
"#8EABC1","Nepal"
"#7CB7BB","Neptune"
"#140600","Nero"
"#646E75","Nevada"
"#F3D69D","New Orleans"
"#D7837F","New York Pink"
"#06A189","Niagara"
"#1F120F","Night Rider"
"#AA375A","Night Shadz"
"#193751","Nile Blue"
"#B7B1B1","Nobel"
"#BAB1A2","Nomad"
"#A8BD9F","Norway"
"#C59922","Nugget"
"#683600","Nutmeg Wood Finish"
"#81422C","Nutmeg"
"#FEEFCE","Oasis"
"#02866F","Observatory"
"#41AA78","Ocean Green"
