"#4C4F56","Abbey"
"#F77703","Chilean Fire"
"#FFFDE6","Chilean Heath"
"#FCFFE7","China Ivory"
"#CEC7A7","Chino"
"#A8E3BD","Chinook"
"#370202","Chocolate"
"#33036B","Christalle"
"#67A712","Christi"
"#E7730A","Christine"
"#E8F1D4","Chrome White"
"#773F1A","Cigar"
"#0E0E18","Cinder"
"#FDE1DC","Cinderella"
"#7B3F00","Cinnamon"
"#55280C","Cioccolato"
"#FAF7D6","Citrine White"
"#9EA91F","Citron"
"#A1C50A","Citrus"
"#480656","Clairvoyant"
"#D4B6AF","Clam Shell"
"#7F1734","Claret"
"#FBCCE7","Classic Rose"
"#8A8360","Clay Creek"
"#E9FFFD","Clear Day"
"#E96E00","Clementine"
"#371D09","Clinker"
"#C7C4BF","Cloud"
"#202E54","Cloud Burst"
"#ACA59F","Cloudy"
"#384910","Clover"
"#062A78","Cobalt"
"#481C1C","Cocoa Bean"
"#301F1E","Cocoa Brown"
"#F8F7DC","Coconut Cream"
"#0B0B0B","Cod Gray"
"#706555","Coffee"
"#2A140E","Coffee Bean"
"#9F381D","Cognac"
"#3F2500","Cola"
"#ABA0D9","Cold Purple"
"#CEBABA","Cold Turkey"
"#FFEDBC","Colonial White"
"#5C5D75","Comet"
"#517C66","Como"
"#C9D9D2","Conch"
"#7C7B7A","Concord"
"#F2F2F2","Concrete"
"#E9D75A","Confetti"
"#593737","Congo Brown"
"#ACDD4D","Conifer"
"#C6726B","Contessa"
"#7E3A15","Copper Canyon"
"#944747","Copper Rust"
"#C7BCA2","Coral"
"#FFDCD6","Coral Candy"
"#A86B6B","Coral Tree"
"#606E68","Corduroy"
"#C4D0B0","Coriander"
"#40291D","Cork"
"#E7BF05","Corn"
"#F8FACD","Corn Field"
"#8B6B0B","Corn Harvest"
"#FFB0AC","Cornflower"
"#FAD3A2","Corvette"
"#76395D","Cosmic"
"#FFD8D9","Cosmos"
"#615D30","Costa Del Sol"
"#C2BDB6","Cotton Seed"
"#01371A","County Green"
"#051657","Cove Gray"
"#051040","Cove, Deep"
"#4D282D","Cowboy"
"#A02712","Crab Apple"
"#B95140","Crail"
"#B6316C","Cranberry"
"#462425","Crater Brown"
"#FFE5A0","Cream Brulee"
"#F5C85C","Cream Can"
"#FFFC99","Creme De Banane"
"#1E0F04","Creole"
"#737829","Crete"
"#736D58","Crocodile"
"#771F1F","Crown Of Thorns"
"#1C1208","Crowshead"
"#B5ECDF","Cruise"
"#004816","Crusoe"
"#FD7B33","Crusta"
"#2A140E","Cuban Tan"
"#924321","Cumin"
"#FDFFD5","Cumulus"
"#FBBEDA","Cupid"
"#2596D1","Curious Blue"
"#507672","Cutty Sark"
"#003E40","Cyprus"
"#012731","Daintree"
"#F9E4BC","Dairy Cream"
"#4F2398","Daisy Bush"
"#6E4B26","Dallas"
"#6093D1","Danube"
"#A6A29A","Dawn"
"#F3E9E5","Dawn Pink"
"#7AC488","De York"
"#D2DA97","Deco"
"#01826B","Deep Sea"
"#B09A95","Del Rio"
"#396413","Dell"
"#A4A49D","Delta"
"#7563A8","Deluge"
"#FFEED8","Derby"
"#AE6020","Desert"
"#F8F8F7","Desert Storm"
"#EAFFFE","Dew"
"#DB995E","Di Serria"
"#130000","Diesel"
"#5D7747","Dingley"
"#871550","Disco"
"#E29418","Dixie"
"#F9FF8B","Dolly"
"#646077","Dolphin"
"#8E775E","Domino"
"#5D4C51","Don Juan"
"#A69279","Donkey Brown"
"#6B5755","Dorado"
"#EEE3AD","Double Colonial White"
"#FCF4D0","Double Pearl Lusta"
"#E6D7B9","Double Spanish White"
"#6D6C6C","Dove Gray"
"#092256","Downriver"
"#6FD0C5","Downy"
"#AF8751","Driftwood"
"#FDF7AD","Drover"
"#383533","Dune"
"#E5CCC9","Dust Storm"
"#A8989B","Dusty Gray"
"#FFF8D1","Dutch White"
"#B6BAA4","Eagle"
"#C9B93B","Earls Green"
"#FFF9E6","Early Dawn"
"#414C7D","East Bay"
"#AC91CE","East Side"
"#1E9AB0","Eastern Blue"
"#E9E3E3","Ebb"
"#0C0B1D","Ebony"
"#26283B","Ebony Clay"
"#3C2005","Ebony, Dark"
"#AFBDD9","Echo Blue"
"#311C17","Eclipse"
"#F5F3E5","Ecru White"
"#FA7814","Ecstasy"
"#105852","Eden"
"#C8E3D7","Edgewater"
"#A2AEAB","Edward"
"#FFF4DD","Egg Sour"
"#FFEFC1","Egg White"
"#1E1708","El Paso"
"#8F3E33","El Salva"
"#123447","Elephant"
"#088370","Elf Green"
"#1C7C7D","Elm"
"#A02712","Embers"
"#6C3082","Eminence"
"#514649","Emperor"
"#817377","Empress"
"#0056A7","Endeavour"
"#F8DD5C","Energy Yellow"
"#022D15","English Holly"
"#3E2B23","English Walnut"
"#8BA690","Envy"
"#E1BC64","Equator"
"#612718","Espresso"
"#211A0E","Eternity"
"#278A5B","Eucalyptus"
"#CFA39D","Eunry"
"#024E46","Evening Sea"
"#1C402E","Everglade"
"#FFEFEC","Fair Pink"
"#7F626D","Falcon"
"#FAF3F0","Fantasy"
"#796A78","Fedora"
"#9FDD8C","Feijoa"
"#0A480D","Fern"
"#657220","Fern Frond"
"#704F50","Ferra"
"#FBE96C","Festival"
"#F0FCEA","Feta"
"#B35213","Fiery Orange"
"#657220","Fiji Green"
"#626649","Finch"
"#556D56","Finlandia"
"#692D54","Finn"
"#405169","Fiord"
"#002900","Fir, Deep"
"#AA4203","Fire"
"#E89928","Fire Bush"
"#0E2A30","Firefly"
"#DA5B38","Flame Pea"
"#C7031E","Flame Red"
"#FF7D07","Flamenco"
"#F2552A","Flamingo"
"#7B8265","Flax"
"#6F6A61","Flint"
"#A2006D","Flirt"
"#D8FCFA","Foam"
"#D7D0FF","Fog"
"#CBCAB6","Foggy Gray"
"#182D09","Forest Green"
"#FFF1EE","Forget Me Not"
"#56B4BE","Fountain Blue"
"#FFDEB3","Frangipani"
"#BDBDC6","French Gray"
"#ECC7EE","French Lilac"
"#BDEDFD","French Pass"
"#807E79","Friar Gray"
"#B1E2C1","Fringy Flower"
"#F57584","Froly"
"#EDF5DD","Frost"
"#DBFFF8","Frosted Mint"
"#E4F6E7","Frostee"
"#4F9D5D","Fruit Salad"
"#7A58C1","Fuchsia"
"#BEDE0D","Fuego"
"#ECA927","Fuel Yellow"
"#1959A8","Fun Blue"
"#016D39","Fun Green"
"#54534D","Fuscous Gray"
"#163531","Gable Green"
"#EFEFEF","Gallery"
"#DCB20C","Galliano"
"#D18F1B","Geebung"
"#15736B","Genoa"
"#FB8989","Geraldine"
"#D4DFE2","Geyser"
"#C7C9D5","Ghost"
"#523C94","Gigas"
"#B8B56A","Gimblet"
"#E8F2EB","Gin"
"#FFF9E2","Gin Fizz"
"#F8E4BF","Givry"
"#80B3C4","Glacier"
"#61845F","Glade Green"
"#726D4E","Go Ben"
"#3D7D52","Goblin"
"#F18200","Gold Drop"
"#DEBA13","Gold Tips"
"#E28913","Golden Bell"
"#F0D52D","Golden Dream"
"#F5FB3D","Golden Fizz"
"#FDE295","Golden Glow"
"#F0DB7D","Golden Sand"
"#FFCC5C","Golden Tainoi"
"#261414","Gondola"
"#0B1107","Gordons Green"
"#FFF14F","Gorse"
"#069B81","Gossamer"
"#D2F8B0","Gossip"
"#6D92A1","Gothic"
"#2F3CB3","Governor Bay"
"#E4D5B7","Grain Brown"
"#FFD38C","Grandis"
"#8D8974","Granite Green"
"#D5F6E3","Granny Apple"
"#84A0A0","Granny Smith"
"#381A51","Grape"
"#251607","Graphite"
"#7C7631","Grass Hopper"
"#4A444B","Gravel"
"#A2AAB3","Gray Chateau"
"#454936","Gray Green"
"#C3C3BD","Gray Nickel"
"#E7ECE6","Gray Nurse"
"#A9A491","Gray Olive"
"#C1BECD","Gray Suit"
"#24500F","Green House"
"#25311C","Green Kelp"
"#436A0D","Green Leaf"
"#CBD3B0","Green Mist"
"#1D6142","Green Pea"
"#A4AF6E","Green Smoke"
"#B8C1B1","Green Spring"
"#032B52","Green Vogue"
"#101405","Green Waterloo"
"#E8EBE0","Green White"
"#003E40","Greenstone"
"#D54600","Grenadier"
"#BA0101","Guardsman Red"
"#051657","Gulf Blue"
"#80B3AE","Gulf Stream"
"#9DACB7","Gull Gray"
"#B6D3BF","Gum Leaf"
"#7CA1A6","Gumbo"
"#414257","Gun Powder"
"#020D15","Gunmetal"
"#828685","Gunsmoke"
"#9A9577","Gurkha"
"#98811B","Hacienda"
"#6B2A14","Hairy Heath"
"#1B1035","Haiti"
"#FFFEE1","Half And Half"
"#85C4CC","Half Baked"
"#FDF6D3","Half Colonial White"
"#FEF7DE","Half Dutch White"
"#FFFCEA","Half Pearl Lusta"
"#FEF4DB","Half Spanish White"
"#E5D8AF","Hampton"
"#E6F2EA","Harp"
"#E0B974","Harvest Gold"
"#341515","Havana"
"#5590D9","Havelock Blue"
"#9D5616","Hawaiian Tan"
"#D4E2FC","Hawkes Blue"
"#541012","Heath"
"#B7C3D0","Heather"
"#B6B095","Heathered Gray"
"#2B3228","Heavy Metal"
"#5E5D3B","Hemlock"
"#907874","Hemp"
"#B6316C","Hibiscus"
"#908D39","Highball"
"#6F8E63","Highland"
"#ACA586","Hillary"
"#6A5D1B","Himalaya"
"#FCFFF9","Hint Of Gray"
"#E6FFE9","Hint Of Green"
"#F9F9F9","Hint Of Red"
"#FAFDE4","Hint Of Yellow"
"#589AAF","Hippie Blue"
"#53824B","Hippie Green"
"#AE4560","Hippie Pink"
"#A1ADB5","Hit Gray"
"#FFAB81","Hit Pink"
"#C8A528","Hokey Pokey"
"#65869F","Hoki"
"#011D13","Holly"
"#4F1C70","Honey Flower"
"#EDFC84","Honeysuckle"
"#D06DA1","Hopbush"
"#5A87A0","Horizon"
"#604913","Horses Neck"
"#8B0723","Hot Chile"
"#886221","Hot Curry"
"#480656","Hot Purple"
"#B38007","Hot Toddy"
"#CFF9F3","Humming Bird"
"#161D10","Hunter Green"
"#877C7B","Hurricane"
"#B7A458","Husk"
"#B1F4E7","Ice Cold"
"#DAF4F0","Iceberg"
"#F6A4C9","Illusion"
"#4D1E01","Indian Tan"
"#C26B03","Indochine"
"#5F3D26","Irish Coffee"
"#433120","Iroko"
"#D4D7D9","Iron"
"#411F10","Ironbark"
"#676662","Ironside Gray"
"#86483C","Ironstone"
"#FFFCEE","Island Spice"
"#2E0329","Jacaranda"
"#3A2A6A","Jacarta"
"#2E1905","Jacko Bean"
"#20208D","Jacksons Purple"
"#427977","Jade"
"#EF863F","Jaffa"
"#C2E8E5","Jagged Ice"
"#350E57","Jagger"
"#080110","Jaguar"
"#5B3013","Jambalaya"
"#F4EBD3","Janna"
"#0A6906","Japanese Laurel"
"#780109","Japanese Maple"
"#D87C63","Japonica"
"#341515","Jarrah"
"#1FC2C2","Java"
"#780109","Jazz"
"#297B9A","Jelly Bean"
"#B5D2CE","Jet Stream"
"#126B40","Jewel"
"#F5F3E5","Joanna"
"#3B1F1F","Jon"
"#EEFF9A","Jonquil"
"#8AB9F1","Jordy Blue"
"#544333","Judge Gray"
"#7C7B82","Jumbo"
"#281E15","Jungle Green"
"#B4CFD3","Jungle Mist"
"#6D9292","Juniper"
"#ECCDB9","Just Right"
"#5E483E","Kabul"
"#004620","Kaitoke Green"
"#C6C8BD","Kangaroo"
"#1E1609","Karaka"
"#FFEAD4","Karry"
"#507096","Kashmir Blue"
"#454936","Kelp"
"#7C1C05","Kenyan Copper"
"#3AB09E","Keppel"
"#E1EAD4","Kidnapper"
"#240C02","Kilamanjaro"
"#3A6A47","Killarney"
"#736C9F","Kimberly"
"#3E0480","Kingfisher Daisy"
"#1B127B","Koamaru, Deep"
"#E79FC4","Kobi"
"#6E6D57","Kokoda"
"#8F4B0E","Korma"
"#FFBD5F","Koromiko"
"#FFE772","Kournikova"
"#886221","Kumera"
"#368716","La Palma"
"#B3C110","La Rioja"
"#C6E610","Las Palmas"
"#C8B568","Laser"
"#749378","Laurel"
"#A899E6","Lavender"
"#C0D3B9","Leaf, Pale"
"#967059","Leather"
"#F4D81C","Lemon"
"#AC9E22","Lemon Ginger"
"#9B9E8F","Lemon Grass"
"#092256","Licorice"
"#FCC01E","Lightning Yellow"
"#9874D3","Lilac Bush"
"#C8AABF","Lily"
"#E7F8FF","Lily White"
"#76BD17","Lima"
"#BFC921","Lime"
"#6F9D02","Limeade"
"#747D63","Limed Ash"
"#423921","Limed Gum"
"#AC8A56","Limed Oak"
"#394851","Limed Spruce"
"#9DC209","Limerick"
"#E6E4D4","Linen"
"#D9E4F5","Link Water"
"#AB0563","Lipstick"
"#423921","Lisbon Brown"
"#4D282E","Livid Brown"
"#EEF4DE","Loafer"
"#BDC9CE","Loblolly"
"#2C8C84","Lochinvar"
"#007EC7","Lochmara"
"#A8AF8E","Locust"
"#242A1D","Log Cabin"
"#AAA9CD","Logan"
"#DFCFDB","Lola"
"#BEA6C3","London Hue"
"#6D0101","Lonestar"
"#863C3C","Lotus"
"#460B41","Loulou"
"#AF9F1C","Lucky"
"#1A1A68","Lucky Point"
"#3C493A","Lunar Green"
"#991B07","Lusty"
"#A7882C","Luxor Gold"
"#697E9A","Lynch"
"#D9F7FF","Mabel"
"#B7F0BE","Madang"
"#09255D","Madison"
"#3F3002","Madras"
"#F8F4FF","Magnolia"
"#4E0606","Mahogany"
"#B06608","Mai Tai"
"#130A06","Maire"
"#F5D5A0","Maize"
"#897D6D","Makara"
"#444954","Mako"
"#888D65","Malachite Green"
"#7DC8F7","Malibu"
"#233418","Mallard"
"#BDB2A1","Malta"
"#8E8190","Mamba"
"#AD781B","Mandalay"
"#E25465","Mandy"
"#F2C3B2","Mandys Pink"
"#F5C999","Manhattan"
"#74C365","Mantis"
"#8B9C90","Mantle"
"#EEEF78","Manz"
"#350036","Mardi Gras"
"#B98D28","Marigold"
"#286ACD","Mariner"
"#2A140E","Marlin"
"#420303","Maroon"
"#0B0F08","Marshland"
"#AFA09E","Martini"
"#363050","Martinique"
"#F8DB9D","Marzipan"
"#403B38","Masala"
"#40291D","Mash"
"#1B659D","Matisse"
"#B05D54","Matrix"
"#4E3B41","Matterhorn"
"#D8C2D5","Maverick"
"#AF8751","Mckenzie"
"#E4C2D5","Melanie"
"#300529","Melanzane"
"#C7C1FF","Melrose"
"#5D1E0F","Meranti"
"#E5E5E5","Mercury"
"#F6F0E6","Merino"
"#413C37","Merlin"
"#831923","Merlot"
"#49371B","Metallic Bronze"
"#71291D","Metallic Copper"
"#D07D12","Meteor"
"#3C1F76","Meteorite"
"#A72525","Mexican Red"
"#5F5F6E","Mid Gray"
"#011635","Midnight"
"#000741","Midnight Express"
"#041004","Midnight Moss"
"#2D2510","Mikado"
"#FAFFA4","Milan"
"#B81104","Milano Red"
"#FFF6D4","Milk Punch"
"#F6F0E6","Milk White"
"#594433","Millbrook"
"#F8FDD3","Mimosa"
"#E3F988","Mindaro"
"#323232","Mine Shaft"
"#3F5D53","Mineral Green"
"#36747D","Ming"
"#3F307F","Minsk"
"#F1EEC1","Mint Julep"
"#C4F4EB","Mint Tulip"
"#161928","Mirage"
"#D1D2DD","Mischka"
"#C4C4BC","Mist Gray"
"#7F7589","Mobster"
"#6E1D14","Moccaccino"
"#782D19","Mocha"
"#C04737","Mojo"
"#FFA194","Mona Lisa"
"#8B0723","Monarch"
"#4A3C30","Mondo"
"#B5A27F","Mongoose"
"#8A8389","Monsoon"
"#291E30","Montana"
"#83D0C6","Monte Carlo"
"#C7031E","Monza"
"#7F76D3","Moody Blue"
"#FCFEDA","Moon Glow"
"#DCDDCC","Moon Mist"
"#D6CEF6","Moon Raker"
"#FCD917","Moon Yellow"
"#9EDEE0","Morning Glory"
"#441D00","Morocco Brown"
"#504351","Mortar"
"#123447","Mosaic"
"#036A6E","Mosque"
"#959396","Mountain Mist"
"#B78E5C","Muddy Waters"
"#AA8B5B","Muesli"
"#5C0536","Mulberry"
"#8C472F","Mule Fawn"
"#4E4562","Mulled Wine"
"#74640D","Mustard"
"#D69188","My Pink"
"#FFB31F","My Sin"
"#E2EBED","Mystic"
"#4B5D52","Nandor"
"#ACA494","Napa"
"#EDF9F1","Narvik"
"#86560A","Natural"
"#CBDBD6","Nebula"
"#FFE2C5","Negroni"
"#8EABC1","Nepal"
"#7CB7BB","Neptune"
"#140600","Nero"
"#ACA586","Neutral Green"
"#646E75","Nevada"
"#7B3801","New Amber"
"#F3D69D","New Orleans"
"#D7837F","New York Pink"
"#06A189","Niagara"
"#1F120F","Night Rider"
"#AA375A","Night Shadz"
"#660045","Nightclub"
"#193751","Nile Blue"
"#B7B1B1","Nobel"
"#BAB1A2","Nomad"
"#012731","Nordic"
"#A8BD9F","Norway"
"#C59922","Nugget"
"#81422C","Nutmeg"
"#683600","Nutmeg Wood Finish"
"#612718","Oak, Dark"
"#412010","Oak, Deep"
"#FEEFCE","Oasis"
"#02866F","Observatory"
"#41AA78","Ocean Green"
"#E6F8F3","Off Green"
"#FEF9E3","Off Yellow"
"#281E15","Oil"
"#7C1C05","Oiled Cedar"
"#901E1E","Old Brick"
"#724A2F","Old Copper"
"#242E16","Olive Green"
"#8B8470","Olive Haze"
"#716E10","Olivetone"
"#CDF4FF","Onahau"
"#2F270E","Onion"
"#A9C6C2","Opal"
"#8E6F70","Opium"
"#377475","Oracle"
"#C45719","Orange Roughy"
"#FEFCED","Orange White"
"#FFFDF3","Orchid White"
"#9B4703","Oregon"
"#015E85","Orient"
"#C69191","Oriental Pink"
"#F3FBD4","Orinoco"
"#878D91","Oslo Gray"
"#E9F8ED","Ottoman"
"#051040","Outer Space"
"#384555","Oxford Blue"
"#779E86","Oxley"
"#DAFAFF","Oyster Bay"
"#E9CECD","Oyster Pink"
"#988D77","Oyster, Pale"
"#A65529","Paarl"
"#776F61","Pablo"
"#778120","Pacifika"
"#411F10","Paco"
"#ADE6C4","Padua"
"#09230F","Palm Green"
"#19330E","Palm Leaf"
"#F4F2EE","Pampas"
"#EAF6EE","Panache"
"#EDCDAB","Pancho"
"#423921","Panda"
"#8D0226","Paprika"
"#317D82","Paradiso"
"#F1E9D2","Parchment"
"#FFF46E","Paris Daisy"
"#26056A","Paris M"
"#CADCD4","Paris White"
"#134F19","Parsley"
"#639A8F","Patina"
"#DEF5FF","Pattens Blue"
"#260368","Paua"
"#D7C498","Pavlova"
"#CFE5D2","Pea Soup"
"#FFF0DB","Peach"
"#FFDCD6","Peach Schnapps"
"#782F16","Peanut"
"#E8E0D5","Pearl Bush"
"#FCF4DC","Pearl Lusta"
"#716B56","Peat"
"#3EABBF","Pelorous"
"#E3F5E1","Peppermint"
"#A9BEF2","Perano"
"#D0BEF8","Perfume"
"#E1E6D6","Periglacial Blue"
"#701C1C","Persian Plum"
"#520C17","Persian Red"
"#FF6B53","Persimmon"
"#7F3A02","Peru Tan"
"#7C7631","Pesto"
"#DB9690","Petite Orchid"
"#96A8A1","Pewter"
"#A3807B","Pharlap"
"#FFF39D","Picasso"
"#3F4C3A","Pickled Aspen"
"#6E4826","Pickled Bean"
"#314459","Pickled Bluewood"
"#45B1E8","Picton Blue"
"#AFBDD9","Pigeon Post"
"#6D5E54","Pine Cone"
"#C7CD90","Pine Glade"
"#171F04","Pine Tree"
"#E1C0C8","Pink Flare"
"#FFDDF4","Pink Lace"
"#FFF1D8","Pink Lady"
"#BEB5B7","Pink Swan"
"#C96323","Piper"
"#FEF4CC","Pipi"
"#FFE1DF","Pippin"
"#BA7F03","Pirate Gold"
"#9DC209","Pistachio"
"#C0D8B6","Pixie Green"
"#FF9000","Pizazz"
"#C99415","Pizza"
"#27504B","Plantation"
"#615D30","Planter"
"#410056","Plum"
"#8F021C","Pohutukawa"
"#E5F9F6","Polar"
"#8DA8CC","Polo Blue"
"#660045","Pompadour"
"#EFF2F3","Porcelain"
"#EAAE69","Porsche"
"#251F4F","Port Gore"
"#FFFFB4","Portafino"
"#8B9FEE","Portage"
"#F9E663","Portica"
"#F5E7E2","Pot Pourri"
"#8C5738","Potters Clay"
"#BCC9C2","Powder Blue"
"#9A3820","Prairie Sand"
"#D0C0E5","Prelude"
"#F0E2EC","Prim"
"#FDFEB8","Prim, Pale"
"#EDEA99","Primrose"
"#FCFFE7","Promenade"
"#FEF5F1","Provincial Pink"
"#003153","Prussian Blue"
"#7D2C14","Pueblo"
